Date,Adj Close,Open,High,Low,Change %
15-Feb-10,1.3599,1.3614,1.3636,1.3579,-0.14%
16-Feb-10,1.3769,1.3596,1.3779,1.3588,1.25%
17-Feb-10,1.3606,1.3765,1.379,1.3585,-1.18%
18-Feb-10,1.3617,1.3606,1.3656,1.3539,0.08%
19-Feb-10,1.3615,1.3529,1.3619,1.3443,-0.01%
22-Feb-10,1.3598,1.3636,1.3653,1.3571,-0.12%
23-Feb-10,1.3506,1.3592,1.3693,1.3495,-0.68%
24-Feb-10,1.3531,1.351,1.3627,1.3501,0.19%
25-Feb-10,1.3556,1.3536,1.3572,1.3451,0.18%
26-Feb-10,1.3626,1.3548,1.3685,1.3531,0.52%
1-Mar-10,1.3561,1.3624,1.3657,1.3458,-0.48%
2-Mar-10,1.3605,1.3557,1.3623,1.3433,0.32%
3-Mar-10,1.37,1.3616,1.3738,1.3592,0.70%
4-Mar-10,1.358,1.3695,1.3714,1.355,-0.88%
5-Mar-10,1.3622,1.3581,1.363,1.3527,0.31%
8-Mar-10,1.363,1.3632,1.3706,1.3607,0.06%
9-Mar-10,1.3601,1.363,1.3636,1.3535,-0.21%
10-Mar-10,1.366,1.36,1.368,1.3543,0.43%
11-Mar-10,1.3679,1.3656,1.3689,1.3618,0.14%
12-Mar-10,1.3763,1.3678,1.3798,1.3668,0.61%
15-Mar-10,1.3676,1.3777,1.3779,1.3639,-0.63%
16-Mar-10,1.3772,1.3677,1.3786,1.3657,0.70%
17-Mar-10,1.3738,1.377,1.3818,1.3725,-0.25%
18-Mar-10,1.3607,1.3732,1.3743,1.3583,-0.95%
19-Mar-10,1.3534,1.3607,1.3629,1.3502,-0.54%
22-Mar-10,1.3556,1.3525,1.3569,1.3462,0.16%
23-Mar-10,1.35,1.3563,1.3571,1.3474,-0.41%
24-Mar-10,1.3314,1.3495,1.3502,1.3304,-1.38%
25-Mar-10,1.3279,1.3316,1.3386,1.3266,-0.26%
26-Mar-10,1.3413,1.328,1.3428,1.3268,1.01%
29-Mar-10,1.3478,1.3488,1.3508,1.3418,0.48%
30-Mar-10,1.3413,1.3479,1.354,1.3394,-0.48%
31-Mar-10,1.3512,1.3415,1.355,1.3384,0.74%
1-Apr-10,1.3582,1.351,1.3592,1.3457,0.52%
2-Apr-10,1.3504,1.3584,1.3593,1.3474,-0.57%
5-Apr-10,1.3486,1.3491,1.3541,1.3461,-0.13%
6-Apr-10,1.3399,1.3483,1.3497,1.3354,-0.65%
7-Apr-10,1.334,1.3396,1.3409,1.3323,-0.44%
8-Apr-10,1.336,1.3337,1.3368,1.328,0.15%
9-Apr-10,1.3499,1.336,1.3503,1.3341,1.04%
12-Apr-10,1.3586,1.3622,1.3693,1.3563,0.64%
13-Apr-10,1.3607,1.3584,1.3627,1.3545,0.15%
14-Apr-10,1.3653,1.3617,1.3679,1.3596,0.34%
15-Apr-10,1.358,1.3653,1.3668,1.3518,-0.53%
16-Apr-10,1.3499,1.358,1.3584,1.3473,-0.60%
19-Apr-10,1.3485,1.3478,1.3498,1.3413,-0.10%
20-Apr-10,1.3438,1.349,1.3524,1.3427,-0.35%
21-Apr-10,1.3387,1.3437,1.3448,1.3357,-0.38%
22-Apr-10,1.3293,1.3385,1.3422,1.3258,-0.70%
23-Apr-10,1.3386,1.3286,1.3403,1.3202,0.70%
26-Apr-10,1.3397,1.3346,1.3398,1.3289,0.08%
27-Apr-10,1.3165,1.3396,1.3415,1.3159,-1.73%
28-Apr-10,1.3214,1.3156,1.3271,1.3115,0.37%
29-Apr-10,1.3225,1.3204,1.3281,1.3183,0.08%
30-Apr-10,1.3298,1.3245,1.3345,1.3226,0.55%
3-May-10,1.3194,1.3342,1.3342,1.3154,-0.78%
4-May-10,1.2982,1.3192,1.3215,1.2976,-1.61%
5-May-10,1.2814,1.2968,1.2998,1.2789,-1.29%
6-May-10,1.2656,1.2824,1.2856,1.2521,-1.23%
7-May-10,1.2762,1.2633,1.28,1.2588,0.84%
10-May-10,1.2782,1.2933,1.3094,1.2758,0.16%
11-May-10,1.2655,1.2791,1.2804,1.2652,-0.99%
12-May-10,1.2622,1.2639,1.274,1.2603,-0.26%
13-May-10,1.253,1.2631,1.2686,1.2518,-0.73%
14-May-10,1.2363,1.2524,1.2578,1.2355,-1.33%
17-May-10,1.2395,1.2351,1.2416,1.2235,0.26%
18-May-10,1.2183,1.2395,1.2447,1.2163,-1.71%
19-May-10,1.2429,1.2183,1.2434,1.2144,2.02%
20-May-10,1.2468,1.2429,1.2601,1.2298,0.31%
21-May-10,1.2573,1.2468,1.2675,1.2461,0.84%
24-May-10,1.2353,1.2546,1.2561,1.2344,-1.75%
25-May-10,1.2365,1.2344,1.2372,1.2172,0.10%
26-May-10,1.2168,1.2373,1.2376,1.2164,-1.59%
27-May-10,1.2369,1.2157,1.2395,1.2153,1.65%
28-May-10,1.227,1.2363,1.2455,1.2266,-0.80%
31-May-10,1.2306,1.2273,1.2334,1.2264,0.29%
1-Jun-10,1.2227,1.2305,1.2355,1.2111,-0.64%
2-Jun-10,1.2251,1.2207,1.2277,1.2174,0.20%
3-Jun-10,1.2157,1.2247,1.2327,1.2151,-0.77%
4-Jun-10,1.1976,1.2165,1.2218,1.1956,-1.49%
7-Jun-10,1.1915,1.1946,1.1992,1.1876,-0.51%
8-Jun-10,1.1975,1.1919,1.2011,1.1901,0.50%
9-Jun-10,1.1986,1.197,1.2076,1.1923,0.09%
10-Jun-10,1.2109,1.1981,1.2143,1.1955,1.03%
11-Jun-10,1.2113,1.2109,1.2155,1.2046,0.03%
