Date,Adj Close,Open,High,Low,Change %
11-Feb-10,89.71,89.92,90.14,89.57,-0.23%
12-Feb-10,89.94,90.2,90.41,89.62,0.26%
15-Feb-10,90.06,90.07,90.24,89.91,0.13%
16-Feb-10,90.25,90.06,90.51,89.71,0.22%
17-Feb-10,91.08,90.25,91.39,90.15,0.91%
18-Feb-10,91.98,91.09,92.1,90.57,0.99%
19-Feb-10,91.54,91.97,92.14,91.5,-0.48%
22-Feb-10,91.27,91.63,91.9,91.02,-0.29%
23-Feb-10,90.17,91.26,91.29,89.92,-1.21%
24-Feb-10,90.29,90.17,90.36,89.77,0.13%
25-Feb-10,89.3,90.29,90.29,88.8,-1.10%
26-Feb-10,88.94,89.29,89.5,88.75,-0.40%
1-Mar-10,89.18,88.86,89.48,88.81,0.27%
2-Mar-10,88.77,89.18,89.38,88.55,-0.47%
3-Mar-10,88.61,88.78,88.99,88.32,-0.17%
4-Mar-10,89.19,88.6,89.26,88.14,0.65%
5-Mar-10,90.31,89.17,90.59,89.16,1.25%
8-Mar-10,90.31,90.61,90.66,90.15,0.00%
9-Mar-10,90,90.31,90.31,89.64,-0.34%
10-Mar-10,90.5,90.01,90.82,89.94,0.55%
11-Mar-10,90.68,90.5,90.75,90.21,0.20%
12-Mar-10,90.57,90.67,91.08,90.17,-0.12%
15-Mar-10,90.33,90.7,90.8,90.28,-0.25%
16-Mar-10,90.32,90.33,90.73,89.99,-0.02%
17-Mar-10,90.42,90.32,90.71,90.04,0.11%
18-Mar-10,90.49,90.42,90.8,89.76,0.08%
19-Mar-10,90.54,90.49,90.71,90.34,0.07%
22-Mar-10,90.32,90.44,90.77,89.83,-0.24%
23-Mar-10,90.42,90.32,90.47,90.13,0.10%
24-Mar-10,92.01,90.42,92.4,90.39,1.77%
25-Mar-10,92.54,92.01,92.96,91.76,0.57%
26-Mar-10,92.53,92.54,92.9,92.31,-0.01%
29-Mar-10,92.43,92.4,92.79,92.35,-0.11%
30-Mar-10,92.93,92.43,93.02,92.13,0.54%
31-Mar-10,93.47,92.84,93.63,92.73,0.59%
1-Apr-10,93.74,93.53,94.04,93.29,0.29%
2-Apr-10,94.61,93.74,94.69,93.61,0.93%
5-Apr-10,94.28,94.53,94.6,94.09,-0.35%
6-Apr-10,93.64,94.28,94.29,93.57,-0.68%
7-Apr-10,93.21,93.64,94.26,93.15,-0.45%
8-Apr-10,93.42,93.21,93.53,92.83,0.23%
9-Apr-10,93.18,93.42,93.78,93.11,-0.26%
12-Apr-10,93.21,93.09,93.61,93.05,0.03%
13-Apr-10,93.24,93.21,93.41,92.57,0.04%
14-Apr-10,93.31,93.24,93.71,92.83,0.07%
15-Apr-10,93.01,93.22,93.55,92.85,-0.32%
16-Apr-10,92.18,93.13,93.13,91.9,-0.90%
19-Apr-10,92.47,91.96,92.54,91.6,0.32%
20-Apr-10,93.12,92.47,93.39,92.47,0.70%
21-Apr-10,93,93.12,93.44,92.94,-0.12%
22-Apr-10,93.54,93,93.63,92.75,0.58%
23-Apr-10,93.96,93.54,94.32,93.32,0.45%
26-Apr-10,93.89,94.18,94.36,93.81,-0.09%
27-Apr-10,93.19,93.89,94.03,92.82,-0.74%
28-Apr-10,94.01,93.19,94.32,93,0.88%
29-Apr-10,93.96,94.01,94.26,93.86,-0.05%
30-Apr-10,93.86,93.96,94.59,93.83,-0.12%
3-May-10,94.66,94.12,94.78,93.85,0.86%
4-May-10,94.9,94.66,94.97,94.33,0.25%
5-May-10,93.88,94.9,94.99,93.54,-1.07%
6-May-10,91.36,93.88,93.97,87.98,-2.68%
7-May-10,91.6,91.36,93.24,90.84,0.26%
10-May-10,93.02,92.17,93.54,91.85,1.56%
11-May-10,92.81,93.01,93.26,92.22,-0.23%
12-May-10,93.19,92.81,93.29,92.46,0.41%
13-May-10,92.6,93.19,93.64,92.59,-0.64%
14-May-10,92.51,92.6,93.08,91.81,-0.09%
17-May-10,92.54,92.25,92.69,91.77,0.03%
18-May-10,91.86,92.54,92.97,91.86,-0.73%
19-May-10,91.78,91.86,92.14,90.94,-0.10%
20-May-10,89.87,91.78,91.88,88.97,-2.08%
21-May-10,89.99,89.87,90.48,89.23,0.13%
24-May-10,90.11,90.18,90.62,89.75,0.13%
25-May-10,90.33,90.11,90.49,89.26,0.25%
26-May-10,89.98,90.33,90.67,89.82,-0.39%
27-May-10,90.99,89.98,91.08,89.93,1.12%
28-May-10,91.07,90.99,91.41,90.61,0.08%
31-May-10,91.16,91.24,91.62,90.94,0.10%
1-Jun-10,91.17,91.16,91.46,90.54,0.01%
2-Jun-10,92.09,91.17,92.36,91.02,1.01%
3-Jun-10,92.59,92.09,92.8,92.04,0.54%
4-Jun-10,91.89,92.59,92.89,91.43,-0.76%
7-Jun-10,91.56,91.63,92.08,90.98,-0.35%
8-Jun-10,91.35,91.56,91.93,90.84,-0.23%
9-Jun-10,91.35,91.35,91.67,91.06,0.00%
10-Jun-10,91.49,91.35,91.55,90.86,0.15%
